"rate_id,rate_date,currency_from,currency_to,rate"
"ER001,2024-01-01,USD,UAH,38.20"
"ER002,2024-01-01,EUR,UAH,41.80"
"ER003,2024-02-01,USD,UAH,38.50"
"ER004,2024-02-01,EUR,UAH,41.50"
"ER005,2024-03-01,USD,UAH,39.10"
"ER006,2024-03-01,EUR,UAH,42.30"
"ER007,2024-04-01,USD,UAH,39.60"
"ER008,2024-04-01,EUR,UAH,43.00"
"ER009,2024-05-01,USD,UAH,39.90"
"ER010,2024-05-01,EUR,UAH,43.20"
"ER011,2024-06-01,USD,UAH,40.10"
"ER012,2024-06-01,EUR,UAH,43.50"
"ER013,2024-07-01,USD,UAH,40.40"
"ER014,2024-07-01,EUR,UAH,43.80"
"ER015,2024-08-01,USD,UAH,40.60"
"ER016,2024-08-01,EUR,UAH,44.00"
