"alert_id,transaction_id,account_id,alert_date,alert_type,risk_score,investigation_status,is_confirmed_fraud,fraud_type,loss_amount"
"FA001,T0008,A005,2024-01-11,UNUSUAL_TRANSFER,72,REVIEWED,false,NULL,0"
"FA002,T0009,A006,2024-01-14,FOREIGN_TRANSACTION,65,REVIEWED,false,NULL,0"
"FA003,T0012,A010,2024-01-13,LARGE_ATM_WITHDRAWAL,80,CONFIRMED,true,ACCOUNT_TAKEOVER,50000"
"FA004,T0015,A012,2024-01-10,LARGE_TRANSFER,78,REVIEWED,false,NULL,0"
"FA005,T0017,A016,2024-01-15,LARGE_TRANSFER,85,CONFIRMED,true,SOCIAL_ENGINEERING,45000"
"FA006,T0022,A027,2024-01-09,RAPID_REPEAT_TRANSACTION,95,CONFIRMED,true,ACCOUNT_TAKEOVER,90000"
"FA007,T0024,A027,2024-01-09,RAPID_REPEAT_TRANSACTION,95,CONFIRMED,true,ACCOUNT_TAKEOVER,0"
"FA008,T0028,A005,2024-02-03,UNUSUAL_TRANSFER,70,REVIEWED,false,NULL,0"
"FA009,T0031,A016,2024-02-14,LARGE_TRANSFER,88,CONFIRMED,true,SOCIAL_ENGINEERING,55000"
"FA010,T0034,A027,2024-02-10,RAPID_REPEAT_TRANSACTION,96,CONFIRMED,true,ACCOUNT_TAKEOVER,95000"
"FA011,T0039,A018,2024-02-22,SUSPICIOUS_ATM,75,REVIEWED,false,NULL,0"
"FA012,T0042,A005,2024-03-05,UNUSUAL_TRANSFER,68,CLOSED,false,NULL,0"
"FA013,T0046,A016,2024-03-15,LARGE_TRANSFER,87,CONFIRMED,true,SOCIAL_ENGINEERING,48000"
"FA014,T0048,A027,2024-03-20,NIGHT_TRANSACTION,97,CONFIRMED,true,ACCOUNT_TAKEOVER,120000"
"FA015,T0053,A007,2024-04-08,GEO_ANOMALY,82,CONFIRMED,true,CARD_FRAUD,4500"
"FA016,T0055,A010,2024-04-10,LARGE_ATM_WITHDRAWAL,83,CONFIRMED,true,ACCOUNT_TAKEOVER,75000"
"FA017,T0058,A016,2024-04-20,LARGE_TRANSFER,89,CONFIRMED,true,SOCIAL_ENGINEERING,52000"
"FA018,T0062,A027,2024-04-30,NIGHT_TRANSACTION,96,CONFIRMED,true,ACCOUNT_TAKEOVER,80000"
"FA019,T0067,A010,2024-05-12,LARGE_ATM_WITHDRAWAL,81,CONFIRMED,true,ACCOUNT_TAKEOVER,60000"
"FA020,T0069,A016,2024-05-18,LARGE_TRANSFER,86,CONFIRMED,true,SOCIAL_ENGINEERING,40000"
"FA021,T0072,A027,2024-05-25,NIGHT_TRANSACTION,98,CONFIRMED,true,ACCOUNT_TAKEOVER,100000"
"FA022,T0078,A007,2024-06-08,GEO_ANOMALY,85,CONFIRMED,true,CARD_FRAUD,35000"
"FA023,T0081,A016,2024-06-15,LARGE_TRANSFER,88,CONFIRMED,true,SOCIAL_ENGINEERING,43000"
"FA024,T0084,A027,2024-06-22,NIGHT_TRANSACTION,99,CONFIRMED,true,ACCOUNT_TAKEOVER,110000"
"FA025,T0089,A009,2024-07-12,FOREIGN_TRANSACTION,70,REVIEWED,false,NULL,0"
"FA026,T0091,A014,2024-07-18,LARGE_ATM_WITHDRAWAL,84,CONFIRMED,true,ACCOUNT_TAKEOVER,80000"
"FA027,T0092,A016,2024-07-20,LARGE_TRANSFER,87,CONFIRMED,true,SOCIAL_ENGINEERING,47000"
"FA028,T0096,A027,2024-07-28,NIGHT_TRANSACTION,99,CONFIRMED,true,ACCOUNT_TAKEOVER,130000"
