"repayment_id,application_id,payment_date,scheduled_date,amount_paid,principal_paid,interest_paid,outstanding_balance,is_overdue,days_overdue"
"R001,L001,2022-04-15,2022-04-15,2200.00,1900.00,300.00,43100.00,false,0"
"R002,L001,2022-05-15,2022-05-15,2200.00,1930.00,270.00,41170.00,false,0"
"R003,L001,2022-06-20,2022-06-15,2200.00,1960.00,240.00,39210.00,true,5"
"R004,L001,2022-07-15,2022-07-15,2200.00,1990.00,210.00,37220.00,false,0"
"R005,L002,2022-06-28,2022-06-28,3200.00,2800.00,400.00,97200.00,false,0"
"R006,L002,2022-07-28,2022-07-28,3200.00,2840.00,360.00,94360.00,false,0"
"R007,L002,2022-08-28,2022-08-28,3200.00,2870.00,330.00,91490.00,false,0"
"R008,L003,2022-09-01,2022-09-01,8500.00,5500.00,3000.00,694500.00,false,0"
"R009,L003,2022-10-01,2022-10-01,8500.00,5560.00,2940.00,688940.00,false,0"
"R010,L005,2021-07-20,2021-07-20,11000.00,8000.00,3000.00,492000.00,false,0"
"R011,L005,2021-08-20,2021-08-20,11000.00,8100.00,2900.00,483900.00,false,0"
"R012,L005,2021-09-25,2021-09-20,11000.00,8200.00,2800.00,475700.00,true,5"
"R013,L007,2020-05-15,2020-05-15,20000.00,12000.00,8000.00,1788000.00,false,0"
"R014,L007,2020-06-15,2020-06-15,20000.00,12100.00,7900.00,1775900.00,false,0"
"R015,L008,2023-02-18,2023-02-18,2100.00,1800.00,300.00,68200.00,false,0"
"R016,L008,2023-03-30,2023-03-18,2100.00,1820.00,280.00,66380.00,true,12"
"R017,L009,2019-10-01,2019-10-01,14000.00,9500.00,4500.00,890500.00,false,0"
"R018,L009,2019-11-01,2019-11-01,14000.00,9600.00,4400.00,880900.00,false,0"
"R019,L011,2022-05-22,2022-05-22,2100.00,1800.00,300.00,38200.00,false,0"
"R020,L011,2022-06-22,2022-06-22,2100.00,1820.00,280.00,36380.00,false,0"
"R021,L012,2023-06-28,2023-06-28,2600.00,2200.00,400.00,77800.00,false,0"
"R022,L012,2023-07-28,2023-07-28,2600.00,2230.00,370.00,75570.00,false,0"
"R023,L013,2022-09-17,2022-09-17,1700.00,1400.00,300.00,28600.00,false,0"
"R024,L013,2022-10-25,2022-10-17,1700.00,1420.00,280.00,27180.00,true,8"
"R025,L015,2021-10-25,2021-10-25,7000.00,5000.00,2000.00,275000.00,false,0"
"R026,L017,2019-01-20,2019-01-20,28000.00,15000.00,13000.00,2485000.00,false,0"
"R027,L017,2019-02-20,2019-02-20,28000.00,15200.00,12800.00,2469800.00,false,0"
"R028,L018,2022-07-22,2022-07-22,2100.00,1800.00,300.00,63200.00,false,0"
"R029,L019,2022-11-28,2022-11-28,1700.00,1400.00,300.00,28600.00,false,0"
"R030,L022,2020-08-30,2020-08-30,8500.00,6000.00,2500.00,374000.00,false,0"
