"transaction_id,account_id,transaction_date,transaction_time,amount,currency,transaction_type,merchant_category,merchant_name,city,country,channel,status,is_flagged"
"T0001,A001,2024-01-05,09:14:22,1200.00,UAH,PURCHASE,GROCERY,Silpo,Kyiv,UA,POS,COMPLETED,false"
"T0002,A001,2024-01-07,14:32:11,450.00,UAH,PURCHASE,RESTAURANT,McDonalds,Kyiv,UA,POS,COMPLETED,false"
"T0003,A001,2024-01-10,08:55:44,3500.00,UAH,TRANSFER,INTERNAL,,Kyiv,UA,APP,COMPLETED,false"
"T0004,A002,2024-01-12,11:20:33,10000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0005,A003,2024-01-15,19:45:01,25000.00,UAH,WITHDRAWAL,CREDIT,,Kyiv,UA,ATM,COMPLETED,false"
"T0006,A004,2024-01-08,10:11:55,800.00,UAH,PURCHASE,PHARMACY,Apteka,Lviv,UA,POS,COMPLETED,false"
"T0007,A005,2024-01-09,16:22:14,2100.00,UAH,PURCHASE,FUEL,OKKO,Kharkiv,UA,POS,COMPLETED,false"
"T0008,A005,2024-01-11,22:03:45,15000.00,UAH,TRANSFER,EXTERNAL,,Kharkiv,UA,APP,COMPLETED,true"
"T0009,A006,2024-01-14,07:55:10,500.00,USD,PURCHASE,ONLINE,Amazon,NY,US,ONLINE,COMPLETED,true"
"T0010,A008,2024-01-06,13:44:28,5500.00,UAH,PURCHASE,ELECTRONICS,Foxtrot,Dnipro,UA,POS,COMPLETED,false"
"T0011,A008,2024-01-08,18:30:00,8900.00,UAH,PURCHASE,ELECTRONICS,Comfy,Dnipro,UA,POS,COMPLETED,false"
"T0012,A010,2024-01-13,09:15:55,50000.00,UAH,WITHDRAWAL,CREDIT,,Dnipro,UA,ATM,COMPLETED,true"
"T0013,A011,2024-01-07,14:00:00,300.00,UAH,PURCHASE,GROCERY,ATB,Zaporizhzhia,UA,POS,COMPLETED,false"
"T0014,A012,2024-01-03,10:22:30,12000.00,UAH,PURCHASE,TRAVEL,Booking.com,Kyiv,UA,ONLINE,COMPLETED,false"
"T0015,A012,2024-01-10,15:45:00,75000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0016,A016,2024-01-05,08:00:00,2300.00,UAH,PURCHASE,UTILITY,Kyivenergo,Kyiv,UA,APP,COMPLETED,false"
"T0017,A016,2024-01-15,20:14:33,45000.00,UAH,TRANSFER,EXTERNAL,,Kyiv,UA,APP,COMPLETED,true"
"T0018,A017,2024-01-02,09:30:00,50000.00,UAH,DEPOSIT,INTERNAL,,Kyiv,UA,BRANCH,COMPLETED,false"
"T0019,A019,2024-01-04,11:00:00,3200.00,UAH,PURCHASE,CLOTHING,Zara,Kyiv,UA,POS,COMPLETED,false"
